ja,en
何[なに]をするつもりなんだよ,what are you planning to do; suru means to do.
俺[おれ]がやるしかないだろ,I am the only one who can do it; yaru means to do.
このままじゃまずいことになるぞ,this is going to turn out bad; naru means to become.
そこに何[なに]かあるみたいだぞ,there seems to be something over there; aru means to exist.
お前[まえ]、まだここにいるのかよ,you are still here; iru means to be present.
お前[まえ]、何[なに]を言[い]うんだよ,what are you saying; iu means to say.
もうそろそろ行[い]くしかないな,we have to get going soon; iku means to go.
あいつ、本当[ほんとう]に来[く]るのかよ,is that guy really coming; kuru means to come.
そんなの見[み]るんじゃねえよ,do not look at something like that; miru means to see.
ちょっと聞[き]くけどいいか,can I ask you something; kiku means to ask or listen.
お前[まえ]はどう思[おも]うんだよ,what do you think about it; omou means to think.
そんなこと知[し]るかよ,how the hell would I know; shiru means to know.
そんなの見[み]れば分[わ]かるだろ,you can tell just by looking; wakaru means to understand.
俺[おれ]にもできるはずなんだよ,I should be able to do it too; dekiru means to be able.
俺[おれ]がなんとかするしかないな,I will have to handle it myself; ore means I for males.
お前[まえ]にはできないことだからな,this is something you cannot do; omae means you.
あいつ、いい人[ひと]だと思[おも]うけどな,I think he is a good person; hito means person.
あいつはやばい奴[やつ]だからな,that guy is seriously dangerous; yatsu means guy.
そんな事[こと]、できるわけないだろ,there is no way that is possible; koto means thing or matter.
そんな物[もの]、もういらないんだよ,I do not need that thing anymore; mono means thing.
ちょっと話[はなし]があるんだけどさ,I have something to talk about with you; hanashi means talk.
後[あと]で全部[ぜんぶ]話[はな]すって言[い]っただろ,I said I would tell you everything later; hanasu means to talk.
あの時[とき]、俺[おれ]は何[なに]もできなかった,back then I could not do anything; toki means time.
今[いま]すぐここから行[い]くぞ,we are getting out of here right now; ima means now.
あいつの名前[なまえ]、知[し]ってるだろ,you know that guy's name; namae means name.
そんな顔[かお]するなよ,do not make that kind of face; kao means face.
ちゃんと目[め]を見[み]て言[い]えよ,say it while looking me in the eye; me means eye.
俺[おれ]の手[て]を見[み]てみろよ,take a look at my hands; te means hand.
お前[まえ]の声[こえ]、ちゃんと聞[き]こえてるぞ,I can hear your voice just fine; koe means voice.
頭[あたま]が痛[いた]くなってきたな,my head is starting to hurt; atama means head.
体[からだ]だけは大事[だいじ]にしろよ,at least take care of your body; karada means body.
あいつの心[こころ]が分[わ]からないんだよ,I do not understand his heart; kokoro means heart.
そんなの気[き]にするなって,do not let that bother you; ki means feeling or spirit.
お前[まえ]の力[ちから]が今[いま]いるんだよ,I need your strength right now; chikara means power.
俺[おれ]の命[いのち]はもう長[なが]くないんだ,my life is not going to last much longer; inochi means life.
今日[きょう]は家[いえ]にいるつもりだよ,I plan to stay home today; ie means house.
俺[おれ]にとって家族[かぞく]は大事[だいじ]なんだ,family matters to me; kazoku means family.
お前[まえ]は俺[おれ]の友達[ともだち]だろ,you are my friend after all; tomodachi means friend.
あいつも俺[おれ]たちの仲間[なかま]なんだよ,he is one of us too; nakama means comrade.
先生[せんせい]、それ本当[ほんとう]なんですか,teacher is that really true; sensei means teacher.
今日[きょう]は学校[がっこう]に行[い]かないぞ,I am not going to school today; gakkou means school.
明日[あした]になれば分[わ]かるからさ,you will understand tomorrow; ashita means tomorrow.
昨日[きのう]はずっと家[いえ]にいたよ,I was home all day yesterday; kinou means yesterday.
この部屋[へや]、誰[だれ]もいないみたいだ,it looks like nobody is in this room; heya means room.
この街[まち]で何[なに]があったんだよ,what happened in this town; machi means town.
今[いま]、変[へん]な音[おと]がしただろ,you heard that weird sound just now; oto means sound.
お前[まえ]の夢[ゆめ]は何[なん]なんだよ,what is your dream; yume means dream.
お前[まえ]、また嘘[うそ]ついてるだろ,you are lying again; uso means lie.
これは俺[おれ]たちの約束[やくそく]だからな,this is the promise between us; yakusoku means promise.
もう遅[おそ]いから帰[かえ]るぞ,it is late so I am going home; kaeru means to return.
ここで待[ま]つから先[さき]に行[い]けよ,I will wait here so you go ahead; matsu means to wait.
あいつにもう一度[いちど]会[あ]うつもりだ,I intend to meet him one more time; au means to meet.
こんな重[おも]い物[もの]、俺[おれ]が持[も]つよ,I will carry something this heavy; motsu means to hold.
その力[ちから]をここで使[つか]うのかよ,are you going to use that power here; tsukau means to use.
お前[まえ]の物[もの]を取[と]るつもりはない,I have no intention of taking your stuff; toru means to take.
そんな所[ところ]に置[お]くなよ,do not put it in a place like that; oku means to put.
勝手[かって]に部屋[へや]に入[はい]るなよ,do not just walk into my room; hairu means to enter.
もうこの家[いえ]を出[で]るしかないな,I have no choice but to leave this house; deru means to exit.
まだ立[た]てるだろ、早[はや]く立[た]つんだよ,you can still stand so get up; tatsu means to stand.
そこに座[すわ]るなって言[い]っただろ,I told you not to sit there; suwaru means to sit.
あいつより早[はや]く走[はし]るしかない,I just have to run faster than him; hashiru means to run.
そこから動[うご]くんじゃねえぞ,do not move from there; ugoku means to move.
こんな所[ところ]で止[と]まるわけにはいかない,I cannot stop in a place like this; tomaru means to stop.
これで全部[ぜんぶ]終[お]わるんだよ,this ends all of it; owaru means to end.
ここから本当[ほんとう]の話[はなし]が始[はじ]まるんだ,the real story starts from here; hajimaru means to begin.
こんな所[ところ]で死[し]ぬつもりかよ,are you planning to die in a place like this; shinu means to die.
俺[おれ]は生[い]きて帰[かえ]るからな,I am coming back alive; ikiru means to live.
絶対[ぜったい]にお前[まえ]を助[たす]けるからな,I will definitely save you; tasukeru means to save.
この街[まち]は俺[おれ]が守[まも]るんだよ,I am the one protecting this town; mamoru means to protect.
あいつとはもう戦[たたか]うしかない,there is nothing left but to fight him; tatakau means to fight.
お前[まえ]だけでも逃[に]げろよ,at least you should run away; nigeru means to escape.
あいつを追[お]うのはやめとけって,quit chasing after him; ou means to chase.
本気[ほんき]であいつを殺[ころ]すつもりかよ,are you seriously planning to kill him; korosu means to kill.
そんな事[こと]で泣[な]くなよ,do not cry over something like that; naku means to cry.
そんなに笑[わら]うなよ、恥[は]ずかしいだろ,do not laugh so much it is embarrassing; warau means to laugh.
先生[せんせい]、また怒[おこ]るんじゃないか,the teacher is going to get mad again; okoru means to get angry.
そんなに驚[おどろ]くことでもないだろ,it is not something to be that surprised about; odoroku means to be surprised.
あの日[ひ]の事[こと]は忘[わす]れないよ,I will never forget that day; wasureru means to forget.
俺[おれ]の名前[なまえ]、ちゃんと覚[おぼ]えとけよ,make sure you remember my name; oboeru means to memorize.
俺[おれ]はお前[まえ]を信[しん]じてるからな,I believe in you; shinjiru means to believe.
