ja,en
**行[い]く**,to go; Present tense of a -ku verb.
**食[た]べる**,to eat; Present tense of an -eru verb.
**する**,to do; Present tense of suru.
**来[く]る**,to come; Present tense of kuru.
**強[つよ]い**,strong; Present tense of an -i adjective.
魔王[まおう]**だ**,it is the demon lord; Present tense of a noun.
行[い]**った**,went; Past tense of a -ku verb.
食[た]べ**た**,ate; Past tense of an -eru verb.
**した**,did; Past tense of suru.
来[き]**た**,came; Past tense of kuru.
強[つよ]**かった**,was strong; Past tense of an -i adjective.
魔王[まおう]**だった**,was the demon lord; Past tense of a noun.
行[い]か**ない**,does not go; Negative of a -ku verb.
食[た]べ**ない**,does not eat; Negative of an -eru verb.
**しない**,does not do; Negative of suru.
来[こ]**ない**,does not come; Negative of kuru.
強[つよ]**くない**,is not strong; Negative of an -i adjective.
魔王[まおう]**じゃない**,is not the demon lord; Negative of a noun.
行[い]か**なかった**,did not go; Past negative of a -ku verb.
食[た]べ**なかった**,did not eat; Past negative of an -eru verb.
**しなかった**,did not do; Past negative of suru.
来[こ]**なかった**,did not come; Past negative of kuru.
強[つよ]**くなかった**,was not strong; Past negative of an -i adjective.
魔王[まおう]**じゃなかった**,was not the demon lord; Past negative of a noun.
行[い]っ**て**,going and; Te form of a -ku verb. Joins clauses or means and then.
食[た]べ**て**,eating and; Te form of an -eru verb.
**して**,doing and; Te form of suru.
来[き]**て**,coming and; Te form of kuru.
強[つよ]**くて**,strong and; Te form of an -i adjective.
行[い]っ**ている**,has gone; Progressive of a -ku verb. Is doing it or is in that state.
食[た]べ**ている**,is eating; Progressive of an -eru verb.
**している**,is doing; Progressive of suru.
来[き]**ている**,has come; Progressive of kuru.
行[い]き**ます**,goes; Polite present of a -ku verb.
食[た]べ**ます**,eats; Polite present of an -eru verb.
**します**,does; Polite present of suru.
来[き]**ます**,comes; Polite present of kuru.
強[つよ]い**です**,is strong; Polite present of an -i adjective.
魔王[まおう]**です**,is the demon lord; Polite present of a noun.
行[い]き**ません**,does not go; Polite negative of a -ku verb.
食[た]べ**ません**,does not eat; Polite negative of an -eru verb.
**しません**,does not do; Polite negative of suru.
来[き]**ません**,does not come; Polite negative of kuru.
魔王[まおう]**じゃありません**,is not the demon lord; Polite negative of a noun.
行[い]き**ました**,went; Polite past of a -ku verb.
食[た]べ**ました**,ate; Polite past of an -eru verb.
**しました**,did; Polite past of suru.
来[き]**ました**,came; Polite past of kuru.
魔王[まおう]**でした**,was the demon lord; Polite past of a noun.
行[い]**け**,go; Command of a -ku verb. Blunt order.
食[た]べ**ろ**,eat; Command of an -eru verb.
**しろ**,do it; Command of suru.
来[こ]**い**,come; Command of kuru.
行[い]く**な**,do not go; Prohibition of a -ku verb. Do not do it.
食[た]べる**な**,do not eat; Prohibition of an -eru verb.
する**な**,do not do it; Prohibition of suru.
来[く]る**な**,do not come; Prohibition of kuru.
行[い]き**たい**,want to go; Want to form of a -ku verb.
食[た]べ**たい**,want to eat; Want to form of an -eru verb.
**したい**,want to do it; Want to form of suru.
来[き]**たい**,want to come; Want to form of kuru.
行[い]**こう**,let us go; Volitional of a -ku verb. Let us do it or I will.
食[た]べ**よう**,let us eat; Volitional of an -eru verb.
**しよう**,let us do it; Volitional of suru.
来[こ]**よう**,let us come; Volitional of kuru.
行[い]**ける**,can go; Potential of a -ku verb. Able to do it.
食[た]べ**られる**,can eat; Potential of an -eru verb.
**できる**,can do it; Potential of suru.
