ja,en
**する**,to do; (v) for doing anything and it turns a plain noun into an action.
**いる**,to be present (of people and animals); (v) for being somewhere that applies only to people and animals.
**ない**,there is not; (i-adj) of absence saying something simply does not exist.
**言[い]う**,to say; (v) for putting words out including quoting what someone else said.
**ある**,to exist (of things and situations); (v) of existence for objects and situations and it also expresses having something.
**俺[おれ]**,I (rough masculine); (pron) Rough masculine pronoun for oneself that sounds crude before a superior.
**事[こと]**,thing (a matter or fact); (n) for an abstract matter or fact you can talk about.
**何[なに]**,what; (pron) Question pronoun asking what and often used to accuse someone of nonsense.
**それ**,that (near the listener or just mentioned); (dem) for something on the listener side or just brought up in talk.
**なる**,to become; (v) for a change of state that happens to you without effort.
**いい**,good; (i-adj) of approval that often just means acceptable enough to pass.
**この**,this (before a noun); (dem) that must sit before a noun and can boast about oneself.
**私[わたし]**,I (neutral or polite); (pron) Neutral pronoun for oneself usable by anyone though men sound formal with it.
**そう**,that way; (adv) meaning in that manner and pointing back at what was just said.
**来[き]た**,came; (v) Past of the verb to come whose stem takes a ki sound here.
**その**,that (before a noun); (dem) attaching to a noun for something the listener already has in view.
**魔王[まおう]**,demon lord; (n) naming the top rank of monster ruler in this world.
**これ**,this (thing near me); (dem) for a thing in my own space that works as a noun.
**やる**,to do; (v) Blunt casual verb for doing and also for giving to an inferior.
**お前[まえ]**,you (rough and familiar; (pron) Rough pronoun for the person addressed and insulting to strangers or superiors.
**どう**,how; (adv) asking in what way or what state something stands.
**来[く]る**,to come; (v) for motion toward the speaker and it conjugates irregularly.
**くれる**,to give me; (v) for giving toward me or my side including doing me a favour.
**できる**,to be able to; (v) Potential verb for being capable and also for something coming into existence.
**思[おも]う**,to think or feel; (v) for a gut impression or opinion and it softens any claim.
**物[もの]**,thing (physical object); (n) for a physical object you can pick up and carry.
**行[い]く**,to go; (v) for motion away from where the speaker stands.
**見[み]る**,to see or watch; (v) for plain seeing or watching and after another verb means trying.
**者[もの]**,person; (n) for a person defined by a role and it sounds cold.
**行[い]った**,went; (v) Past of the verb to go with a shortened stem that no regular rule predicts.
**我[われ]**,I (archaic and lofty; (pron) Archaic lofty pronoun for oneself used by dragons and demon lords.
**魔物[まもの]**,monster; (n) for a hostile magical creature and literally says demon thing.
**分[わ]かる**,to understand; (v) for understanding that arrives on its own without deliberate effort.
**あなた**,you (polite but distancing); (pron) Polite distancing pronoun for the person addressed and a wife's word for husband.
**今[いま]**,now; (n) for this very moment and the base for from now on.
**ここ**,here; (dem) for the space on my side and for this point in an argument.
**誰[だれ]**,who; (pron) Question pronoun for a person and it never takes the topic particle.
**待[ま]つ**,to wait; (v) for waiting and its bare command freezes someone mid action.
**ください**,please do this for me; (exp) Polite expression asking someone to perform an action for your benefit.
**スライム**,slime; (n) borrowed from game fantasy for the weakest monster of all.
**方[かた]**,direction or way; (n) for a direction or side and also a respectful term for someone.
**国[くに]**,country; (n) for a country or realm and also one's home region.
**そんな**,that kind of; (dem) for that kind of thing attaching straight onto a noun.
**訳[わけ]**,reason; (n) for the reason or logic behind something so its absence means bewilderment.
**奴[やつ]**,guy; (n) for a fellow carrying contempt or rough affection toward him.
**もう**,already; (adv) for a change already landed and with negatives it means no longer.
**みんな**,everyone; (n) for everyone taken together as a single group.
**もらう**,to receive; (v) for receiving from the other side and for getting someone to act.
**ちょっと**,a little; (adv) for a small amount that mostly just softens what follows.
**話[はなし]**,talk or story; (n) for talk or a story treated as a thing people exchange.
**聞[き]く**,to hear or listen; (v) covering listening and asking so directions and music both take it.
**本当[ほんとう]**,truth; (n) for what is real and it literally says hitting the mark.
**気[き]**,mind or feeling; (n) for mind and mood and it powers many feeling expressions.
**まあ**,well now; (adv) conceding ground before you speak and it can drop a complaint.
**オーク**,orc; (n) for a pig-faced monster race whose starving horde starts a war.
**力[ちから]**,strength or power; (n) spanning muscle strength political clout and any capacity to act.
**置[お]く**,to put or place; (v) for setting an object down and leaving it and doing something beforehand.
**名[な]**,name; (n) Terse old-fashioned noun for a name and central to this show's plot.
**知[し]る**,to know; (v) for holding information and its plain form often means finding out.
**我[わ]が**,my or our (formal and grand); (exp) Grand written expression claiming possession and used by kings and generals.
**相手[あいて]**,the other party; (n) for whoever faces you covering enemy partner and conversation partner alike.
**時[とき]**,time; (n) for a point in time and after a verb it means when.
**魔法[まほう]**,magic; (n) for spellcraft as a discipline you study and command.
**所[ところ]**,place; (n) for a spot and also an abstract point in an argument.
**貴様[きさま]**,you (hostile and insulting); (pron) Hostile pronoun for the person addressed and shouting it picks a fight.
**先生[せんせい]**,teacher; (n) for a teacher or master of a craft literally born earlier.
**王[おう]**,king; (n) for a king whose authority comes from a royal line ruling humans.
**こっち**,this way; (dem) Casual demonstrative for this direction and it also stands for my own side.
**考[かんが]える**,to think through; (v) for deliberate reasoning you can be interrupted in the middle of.
**人[ひと]**,person; (n) for a person as a fellow human being.
**しまう**,to end up doing something often regrettably; (exp) marking an action as finished and usually regretted afterwards.
**前[まえ]**,before; (n) covering both in front of and earlier in time.
**後[あと]**,after; (n) for afterwards in time and often left vague about how long.
**死[し]ぬ**,to die; (v) Blunt plain verb for dying and it follows a rare conjugation pattern.
**世界[せかい]**,world; (n) for the world literally saying generation boundary and central to this genre.
**主[あるじ]**,master; (n) for the lord one serves and it implies sworn loyalty.
**王国[おうこく]**,kingdom; (n) for a kingdom literally king country and ruled by human royalty.
**しろ**,do it; (v) Blunt command form of the verb to do which no regular rule predicts.
**作[つく]る**,to make; (v) for making concrete things and also for founding an organisation.
**町[まち]**,town; (n) for a town or a city district with shops and people.
**よかった**,was good; (i-adj) Past of the adjective good which builds every inflected form on a yo stem.
**強[つよ]い**,strong; (i-adj) for strength that also covers skill level and intensity of flavour.
**人間[にんげん]**,human; (n) for humans as a species and the yardstick monsters get measured against.
**ため**,for the sake of; (n) expressing purpose after a possessive and cause after a past verb.
**よく**,well; (adv) meaning well and also often and sometimes a sarcastic how dare you.
**凄[すご]い**,amazing or awesome; (i-adj) of praise that once meant ghastly and stays emphatic in speech.
**さすが**,as expected in admiration; (adv) of admiration for someone living up to their known reputation.
**そして**,and then; (conj) chaining events in the order they happened.
**手[て]**,hand; (n) stretching from hand to method move and available manpower.
**持[も]つ**,to hold; (v) for holding in the hand and for owning something.
**スキル**,skill; (n) for a named system ability with fixed effects in this world.
**そこ**,there (near the listener); (dem) for the space near the listener at a small distance.
**じゃあ**,well then; (conj) Spoken conjunction pivoting off what was just said and softening farewells.
**つもり**,intention; (n) for your own plan and claiming someone else's sounds accusing.
**任[まか]せる**,to entrust; (v) for handing over both the work and the decisions about it.
**あれ**,that over there (away from both of us); (dem) for something far from both speakers and already known to both.
**精霊[せいれい]**,spirit; (n) for elemental beings tied to nature and to the forces they embody.
**通[とお]り**,street; (n) for a street and after a verb it means exactly as stated.
**みたい**,seems like; (exp) Casual expression of inference from what you can see or hear.
**こんな**,this kind of; (dem) for this kind of thing often carrying open contempt.
**こう**,like this; (adv) for this manner used when you are demonstrating an action.
**部下[ぶか]**,subordinate; (n) for a subordinate in a chain of command literally section below.
**しかし**,however; (conj) Stiff conjunction marking a reversal and at home in written argument.
**やっぱり**,as I thought; (adv) confirming a suspicion you already held before the evidence arrived.
**こいつ**,this guy (rough); (pron) pointing at a person close by with the bluntness used for objects.
**出[だ]す**,to take out; (v) Transitive verb for putting something out which with hands means meddling or picking a fight.
**二人[ふたり]**,two people; (n) counting a pair of people and often meaning together as a couple.
**問題[もんだい]**,problem; (n) covering troubles and exam questions alike since it literally asks about a topic.
**大丈夫[だいじょうぶ]**,all right; (na-adj) about safety or condition that also serves as a gentle refusal of an offer.
**ゴブリン**,goblin; (n) for the weakest monster race in this world's ranking of species.
**出[で]る**,to go out; (v) where the subject itself emerges so it fits leaving and monsters appearing.
**欲[ほ]しい**,wanting something; (i-adj) describing the desired object itself so the wanting is a state.
**馬鹿[ばか]**,idiot; (n) for a fool that becomes affectionate teasing when said between close allies.
**自分[じぶん]**,oneself; (n) Reflexive noun meaning whoever the sentence is about so it shifts with the speaker.
**使[つか]う**,to use; (v) for employing a tool or even a person toward some purpose.
**以上[いじょう]**,more than; (n) meaning this and upward so it caps lists and closes formal speeches.
**君[きみ]**,you (familiar; (pron) for addressing equals or juniors warmly which sounds presumptuous aimed upward.
**頼[たの]む**,to request; (v) for asking a favour with trust that also orders food and pleads.
**見[み]せる**,to show; (v) for putting something into someone's view deliberately.
**可能[かのう]**,possible; (na-adj) stating that a situation admits something without naming who can do it.
**悪[わる]い**,bad; (i-adj) whose past tense works as a light manly apology among friends.
**音[おと]**,sound; (n) for noise made by things including a roar or a footstep.
**男[おとこ]**,man; (n) Plain biological label for a male that sounds cold when pointed at someone.
**度[ど]**,time or occasion; (n) Counter noun for occasions that also counts degrees of temperature and angle.
**まだ**,still; (adv) that with a negative leaves the door open for something yet to happen.
**全[すべ]て**,all; (n) Stiff written-feeling word summing up items or facts as a complete set.
**必要[ひつよう]**,necessary; (na-adj) marking what a situation demands regardless of anyone's personal wish.
**いただく**,to receive (humble); (v) Humble verb lowering the speaker so the giver is raised above them.
**今日[きょう]**,today; (n) for the current day used freely in casual and formal speech.
**過[す]ぎる**,to pass by; (v) for something moving past a point that also means going too far.
**少[すこ]し**,a little; (adv) Neutral adverb for a small amount safe in writing and polite speech.
**取[と]る**,to take; (v) for grabbing with the hand that stretches to taking breaks and notes.
**付[つ]ける**,to attach; (v) for making one thing stick to another which covers turning lights on.
**なるほど**,I see; (exp) conceding that an explanation adds up which sounds patronising toward a superior.
**あいつ**,that guy (rough); (pron) Rough pronoun for a person distant from both speakers often used behind their back.
**子[こ]**,child; (n) Short affectionate word for a young one that can point at pets too.
**わし**,I (old man's speech); (pron) First person pronoun that fiction gives old men to age a character instantly.
**済[す]む**,to be finished; (v) for a matter discharging itself with nobody named as the doer.
**子供[こども]**,child; (n) for the young in general also thrown at adults behaving immaturely.
**森[もり]**,forest; (n) for dense wild woodland where creatures live and travellers get lost.
**風呂[ふろ]**,bath; (n) for the soaking tub and its room which means communal comfort here.
**早[はや]い**,early or fast; (i-adj) for happening ahead of expected time and by extension doing something fast.
**竜[りゅう]**,dragon; (n) for the eastern serpentine dragon sitting at the top of monster power.
**呼[よ]ぶ**,to call; (v) for calling out to summon someone that also means naming something.
