ja,en
魔物[まもの]を見[み]**た**,I saw a monster; Plain past ending saying the action already happened.
俺[おれ]は行[い]か**ない**,I am not going; Plain negative ending which then inflects like an adjective.
話[はなし]を聞[き]い**て**,Listen to me; Linking ending that joins verbs or softens an order into a request.
魔王[まおう]が待[ま]っ**ている**,The demon lord is waiting; Ending for an action in progress or a state that still holds.
私[わたし]が行[い]き**ます**,I will go; Polite ending used with strangers and with anyone above you.
何[なに]も知[し]り**ません**,I do not know anything; Polite negative ending for the same audience that gets the polite ending.
何[なに]も言[い]わ**なかった**,He said nothing; Plain past negative built by putting the negative into the past.
話[はなし]を聞[き]**け**,Listen; Bare command ending on a five step verb and it sounds harsh.
これを見[み]**ろ**,Look at this; Bare command ending on a one step verb.
そこへ行[い]く**な**,Do not go there; Particle after the plain form that flatly forbids the action.
魔王[まおう]に会[あ]い**たい**,I want to meet the demon lord; Ending for your own desire and never for what someone else wants.
一緒[いっしょ]に行[い]**こう**,Let us go together; Ending proposing that we act or announcing that you intend to.
助[たす]け**てくれ**,Help me; Ending asking the listener to act for your benefit.
一人[ひとり]で行[い]**ける**,I can go alone; Ending on a five step verb saying the action is possible.
私[わたし]は食[た]べ**られる**,I can eat that; Ending on a one step verb saying the action is possible.
みんなに言[い]わ**れた**,Everyone told me so; Ending marking the subject as the one acted upon.
部下[ぶか]を行[い]か**せる**,I will send my men; Ending for making or letting someone else do the action.
私[わたし]に行[い]か**せて**,Let me go; Ending asking permission to be the one who acts.
行[い]け**ば**分[わ]かる,You will understand if you go; Ending for a general condition where the second part follows the first.
来[き]**たら**教[おし]えてくれ,Tell me once he arrives; Ending for after something happens and it can also mean if.
敵[てき]は強[つよ]**かった**,The enemy was strong; Past ending for adjectives which never take the verb past.
あいつは強[つよ]**くない**,He is not strong; Negative ending for adjectives.
早[はや]**く**行[い]く,I will go quickly; Ending turning an adjective into how the action is done.
本当[ほんとう]**に**強[つよ]い,He is really strong; Ending that turns an adjective taking na into how or how much something is done.
あれは魔王[まおう]**だった**,That was the demon lord; Past of the plain copula which nouns need since they cannot inflect.
俺[おれ]が行[い]く**んだ**,I am the one who is going; Ending framing the sentence as the explanation behind something.
あいつは来[く]る**だろう**,He will probably come; Ending for a guess you are fairly confident about.
ここで死[し]ぬ**かもしれない**,I might die here; Ending for a possibility you cannot rule out.
全部[ぜんぶ]食[た]べ**てしまった**,I ate the lot; Ending for finishing something off and often for regretting it.
先[さき]に話[はな]し**ておく**,I will tell them beforehand; Ending for acting in advance and leaving the result in place.
食[た]べ**てみる**,I will give it a taste; Ending for doing something to find out how it goes.
もう帰[かえ]っ**てもいい**,You may go home now; Ending granting permission to act.
早[はや]く行[い]か**なきゃ**,I have to go now; Casual contraction saying you have no choice but to act.
食[た]べ**ながら**話[はな]す,He talks while eating; Ending for doing this at the same time as the main action.
魔王[まおう]に会[あ]っ**たことがある**,I have met a demon lord; Pattern for having done something at least once in your life.
あいつは強[つよ]**そう**だ,He looks strong; Ending for a judgement made from appearances alone.
お前[まえ]は強[つよ]**すぎる**,You are too strong; Ending saying the quality goes past what is right.
